,RVTY
2018-12-17,80.87999725341797
2018-12-18,80.62000274658203
2018-12-19,78.19999694824219
2018-12-20,76.4000015258789
2018-12-21,73.8499984741211
2018-12-24,71.87000274658203
2018-12-26,75.69999694824219
2018-12-27,77.5
2018-12-28,77.29000091552734
2018-12-31,78.55000305175781
2019-01-02,76.91999816894531
2019-01-03,72.79000091552734
2019-01-04,75.88999938964844
2019-01-07,76.72000122070312
2019-01-08,78.7699966430664
2019-01-09,80.79000091552734
2019-01-10,82.55999755859375
2019-01-11,83.51000213623047
2019-01-14,81.72000122070312
2019-01-15,82.36000061035156
2019-01-16,83.08000183105469
2019-01-17,84.33000183105469
2019-01-18,86.4000015258789
2019-01-22,84.56999969482422
2019-01-23,84.9000015258789
2019-01-24,85.13999938964844
2019-01-25,86.48999786376953
2019-01-28,86.73999786376953
2019-01-29,87.69999694824219
2019-01-30,90.2699966430664
2019-01-31,90.5
2019-02-01,90.86000061035156
2019-02-04,91.2699966430664
2019-02-05,92.83999633789062
2019-02-06,93.58999633789062
2019-02-07,91.61000061035156
2019-02-08,91.83000183105467
2019-02-11,92.0500030517578
2019-02-12,93.56999969482422
2019-02-13,93.7699966430664
2019-02-14,93.3499984741211
2019-02-15,93.98999786376952
2019-02-19,93.87000274658205
2019-02-20,93.51000213623048
2019-02-21,93.19000244140624
2019-02-22,93.58000183105467
2019-02-25,94.12999725341795
2019-02-26,92.58000183105467
2019-02-27,93.87000274658205
2019-02-28,94.16000366210938
2019-03-01,96.45999908447266
2019-03-04,95.72000122070312
2019-03-05,94.9000015258789
2019-03-06,93.37000274658205
2019-03-07,93.23999786376952
2019-03-08,91.87000274658205
2019-03-11,92.91999816894533
2019-03-12,93.47000122070312
2019-03-13,93.66000366210938
2019-03-14,93.11000061035156
2019-03-15,94.04000091552734
2019-03-18,94.02999877929688
2019-03-19,95.08999633789062
2019-03-20,95.0199966430664
2019-03-21,97.5
2019-03-22,93.70999908447266
2019-03-25,94.52999877929688
2019-03-26,95.9800033569336
2019-03-27,94.3499984741211
2019-03-28,95.25
2019-03-29,96.36000061035156
2019-04-01,97.58999633789062
2019-04-02,97.41000366210938
2019-04-03,98.58999633789062
2019-04-04,97.81999969482422
2019-04-05,99.0
2019-04-08,99.70999908447266
2019-04-09,101.12000274658205
2019-04-10,101.0999984741211
2019-04-11,100.3499984741211
2019-04-12,99.98999786376952
2019-04-15,99.19000244140624
2019-04-16,96.9800033569336
2019-04-17,93.58999633789062
2019-04-18,94.1500015258789
2019-04-22,94.5199966430664
2019-04-23,94.77999877929688
2019-04-24,94.5199966430664
2019-04-25,95.08000183105467
2019-04-26,94.08000183105467
2019-04-29,94.95999908447266
2019-04-30,95.83999633789062
2019-05-01,94.12000274658205
2019-05-02,94.87999725341795
2019-05-03,96.58999633789062
2019-05-06,96.72000122070312
2019-05-07,93.5500030517578
2019-05-08,93.33000183105467
2019-05-09,92.6500015258789
2019-05-10,92.41000366210938
2019-05-13,88.11000061035156
2019-05-14,89.04000091552734
2019-05-15,87.91000366210938
2019-05-16,87.98999786376953
2019-05-17,85.94000244140625
2019-05-20,84.05999755859375
2019-05-21,85.5
2019-05-22,86.30000305175781
2019-05-23,86.12999725341797
2019-05-24,86.36000061035156
2019-05-28,84.68000030517578
2019-05-29,84.87000274658203
2019-05-30,85.91000366210938
2019-05-31,86.33999633789062
2019-06-03,86.05000305175781
2019-06-04,88.08999633789062
2019-06-05,90.04000091552734
2019-06-06,91.33000183105467
2019-06-07,92.91999816894533
2019-06-10,93.7300033569336
2019-06-11,93.12000274658205
2019-06-12,93.31999969482422
2019-06-13,93.11000061035156
2019-06-14,92.94000244140624
2019-06-17,93.37999725341795
2019-06-18,94.48999786376952
2019-06-19,95.8000030517578
2019-06-20,96.05999755859376
2019-06-21,95.3499984741211
2019-06-24,95.4800033569336
2019-06-25,94.51000213623048
2019-06-26,93.91000366210938
2019-06-27,95.0
2019-06-28,96.33999633789062
2019-07-01,97.63999938964844
2019-07-02,98.44000244140624
2019-07-03,98.79000091552734
2019-07-05,98.45999908447266
2019-07-08,96.4499969482422
2019-07-09,96.1999969482422
2019-07-10,95.81999969482422
2019-07-11,95.83000183105467
2019-07-12,95.18000030517578
2019-07-15,95.01000213623048
2019-07-16,95.3000030517578
2019-07-17,95.0999984741211
2019-07-18,95.33000183105467
2019-07-19,93.83000183105467
2019-07-22,94.2300033569336
2019-07-23,94.51000213623048
2019-07-24,95.05999755859376
2019-07-25,94.5999984741211
2019-07-26,95.02999877929688
2019-07-29,95.33999633789062
2019-07-30,87.52999877929688
2019-07-31,86.12000274658203
2019-08-01,86.18000030517578
2019-08-02,84.5999984741211
2019-08-05,81.30999755859375
2019-08-06,82.80000305175781
2019-08-07,82.61000061035156
2019-08-08,84.0999984741211
2019-08-09,82.22000122070312
2019-08-12,80.83000183105469
2019-08-13,82.1500015258789
2019-08-14,79.44000244140625
2019-08-15,80.66000366210938
